tweet,label
When i see a SUPER bad bitch and she happen to be from my city i just feel the need to shoot my shot.,"[0.26058146357536316, 0.7394185066223145]"
Photo: My mains @riri22barbie @georgegia yessssss #ladykimora turntup. #vegas bitches &#128525;&#128525; http://t.co/QecHHKO42q,"[0.6799038648605347, 0.32009607553482056]"
"&#8220;@alexvelazquez49: Jordyn stays making fun of how I eat like a little bitch""","[0.44708573818206787, 0.5529143214225769]"
dope in the bag pretty bitch on the side,"[0.18099841475486755, 0.8190015554428101]"
RT @iamSwagnificant: A real hoe will never let you turn her into a house wife.. She'll let you know what it is before you start catching fe&#8230;,"[0.12239176779985428, 0.8776082396507263]"
"Why do people use the eggplant Emoji in reference to a dick? If your dick is purple with a green top, see a doctor bruh.","[0.8641418814659119, 0.13585816323757172]"
red bone but her pusssy hairlessss,"[0.8590573072433472, 0.14094266295433044]"
RT @CarsonTyler85: @Thompson_Era hell yea ill rep your shirt to fam lol #BetterWithPets TeamDonny in this hoe &#128074;&#128074;,"[0.12027832865715027, 0.8797217011451721]"
RT @kpips_forever: Nobody want no pussy 25 other niggas done had before,"[0.49889475107192993, 0.5011052489280701]"
"Char-broiled #cod, yellow #rice, saut&#233;ed spinach and artichoke hearts. Made with love for @voxpulchra.&#8230; http://t.co/vWjWlghRGO","[0.9529776573181152, 0.04702230915427208]"
I'll let u clam on top and let dat nookie pop I'm in dat cookie jar I ain't no rookie girllll,"[0.9694957137107849, 0.03050430864095688]"
"RT @arigold_88: You and yo bitch break up and she start ""lol"" at another nigga, she gone for good bruh.","[0.1486213356256485, 0.8513786196708679]"
RT @elchavaloko: @_WhitePonyJr_ @Buckm00se @Eric_Mariners i see you guys kicked this long haired faggot out your lil video game team,"[0.11557964980602264, 0.8844203948974609]"
"I'm nice to everyone, but don't let this pretty smile confuse you, because i can turn to bitch in nanoseconds.","[0.875519871711731, 0.12448009103536606]"
&#8220;@WillyC14_: &#8220;@urbie_6: #SingleBecause ill find a cute hoosier to date next year &#128527;&#8221; @Tgold32&#8221; @connorbradley,"[0.9601901173591614, 0.03980981186032295]"
Called Eddie a hoe.... By mistake doe. Lol,"[0.14879927039146423, 0.8512007594108582]"
This hoe car smell like nigga let off a sweet potato bomb in her shit!,"[0.1665736436843872, 0.8334263563156128]"
RT @TheVoiceOfMiami: If you got to have every hoe you see you a weak nigga...,"[0.16322600841522217, 0.8367739915847778]"
"@DetroitChe bitches be like.. ""it means something to me""","[0.2594251036643982, 0.7405749559402466]"
"RT @awhooker: Contrary to belief, us queers don&#8217;t go around looking for things to be offended about. It&#8217;s just you cisheteros say the darne&#8230;","[0.14594009518623352, 0.8540599346160889]"
"RT @VRTWxrk_Flash: Mac 10 lay on the floor like a matress ""@yungchipotle: Young based god came straight for the bitches""","[0.4872853457927704, 0.5127146244049072]"
"@DeAdJAkE i just cant stand how people get all fucking amped about it, especially whiny bitches that even get scared at it","[0.8541678190231323, 0.1458321213722229]"
Can't neva be a sucka for no bitch.. That ain't me,"[0.28585776686668396, 0.7141422629356384]"
"Big boobs = no ass No ass = big boobs Big boobs and big ass = ugly face Big boobs , big ass , pretty face = hoe.","[0.15125307440757751, 0.8487468957901001]"
Them queer ass shorts Rabchenko got on,"[0.17356042563915253, 0.8264395594596863]"
&#8220;@ThadIsReal: Ladies If a nigga always wanna go out and party every weekend . He basically side hoe shopping&#8221;&#128514;,"[0.12578973174095154, 0.8742102980613708]"
"I hate when bitches be like ""I love him so much 11/2/2012&lt;3!!!""","[0.2885650396347046, 0.7114349603652954]"
"I'm a dick and you ain't even got ya strap on, pussy","[0.20113655924797058, 0.7988634705543518]"
Never go full retard....,"[0.12385252863168716, 0.876147449016571]"
&#8220;@Jaydillz: The day you unblock me you will become a man again. But that won't happen so you just a bitch.&#8221; @iDisrespectHoez lol,"[0.2729577124118805, 0.7270422577857971]"
@ArlisDoNotChill @ChiefKeef3OO wheres my bitch wit my sammich then?,"[0.2720180153846741, 0.7279819846153259]"
Ronnie Radke's a fucking fag. Fronz owns his ass.,"[0.10471691191196442, 0.895283043384552]"
Your girls pussy smells like sour cream and onions,"[0.24021770060062408, 0.7597823739051819]"
@Titan21Mtzzz you is a hoe,"[0.1049560084939003, 0.8950439691543579]"
Bobby bitch,"[0.16093362867832184, 0.8390663862228394]"
RT @KarlenaSkiff: Could never date someone with yellow teeth&#128567;,"[0.9704859852790833, 0.029513981193304062]"
"She say she want a nigga like me
But that bitch mad cause she can't be my wifey","[0.7167707085609436, 0.2832292318344116]"
What a hoe lol,"[0.13144804537296295, 0.8685519695281982]"
@WyattNuckels who do you think I am bitch,"[0.2745037376880646, 0.7254962921142578]"
I can't stand to see my ex with another ugly bitch &#128514;,"[0.18437400460243225, 0.8156259655952454]"
You bitches make me sick,"[0.1719532608985901, 0.8280467391014099]"
@SeymourBlanco you were supposed to hang w me this week nigger,"[0.09057542681694031, 0.9094246029853821]"
Bumped into a bitch that filed for sexual harassment at work against a co-worker...I aint been so shook in my life,"[0.2853313088417053, 0.7146686911582947]"
I swear I worry about me and nothing's but me. I keep no other bitch on my radar.... I'm not gay.... &#127383;,"[0.5597047209739685, 0.4402952492237091]"
"RT @Huntermoore: If she doesn't take it in the ass, tell the bitch you'll pass.","[0.31726592779159546, 0.6827340722084045]"
RT @Miss_Missouri11: Insecurities are such a bitch.,"[0.2474774867296219, 0.7525225281715393]"
Is Moyles a retard lol? Starting Fellani instead ae RVP? Please come back Fergie #SirAlexFerguson #ManchesterUnited #ManchesterDerby #MUFC,"[0.10196558386087418, 0.8980344533920288]"
Why everybody so hype to see these famous people naked y'all hoes just alike they just got money &#128557;,"[0.13401010632514954, 0.8659899234771729]"
"RT @__iamjazz: ""@shaaaaayy_: i wish i was born in a different generation , cause yall just make my pussy bones hurt . sicken ass children .&#8230;","[0.29569098353385925, 0.7043090462684631]"
That's why I tucked yo bitch u ignorant ass mother fucker,"[0.19400236010551453, 0.8059976100921631]"
@Z_M_G_ thirsty hoes &#128129;,"[0.12289420515298843, 0.8771057724952698]"
Follow ah bitch on ig tho 1inkkofrosess,"[0.2037990540266037, 0.7962009906768799]"
@Deeiiggee hey bitch if your gonna talk shit tag me and quit being such a bitch how did I fuck up the car? Cause it won't hold air dumbass,"[0.2123774141073227, 0.7876226305961609]"
RT @Lmao: When you eat food that's too hot and start breathing like a retarded dragon.,"[0.9004323482513428, 0.09956764429807663]"
@la_di_daDEE try me pussy,"[0.19372603297233582, 0.8062739372253418]"
"@jrlikeswhisky @ZwithR @NickEhlers01 You couldn't handle Iowa pussy - here, kitty, kitty, kitty --- http://t.co/1aNMKM4O9Y","[0.591258704662323, 0.4087413251399994]"
"@OleanderPlume But no joke I will say NO IT IS NOT an Oleander and wife will say Son of a bitch.. Ron, yes the hell it is get out your book","[0.7157798409461975, 0.28422021865844727]"
"RT @ThomasKeneally: Obersturmfuhrer Matthias, my wife is a superb financial brian. Carry on with your labelling in her presence, and see ho&#8230;","[0.9700661301612854, 0.029933873564004898]"
"#hoosier fans, is cody zeller nominating for this years #NBA draft? #iubb","[0.9639889597892761, 0.0360109880566597]"
@AndrewJBurns1 @Tommy_Russell_ homo ass crackers,"[0.11752593517303467, 0.8824740648269653]"
RT @Cspen335: Right you are! Have you heard of the 'dodo' bird? He's the one with Obama on his ass! http://t.co/0qHypwxzYh,"[0.8824643492698669, 0.11753570288419724]"
"@argylegray @JTrevorHowerton @HollyRFisher I don't give a flying fuck what you think about my tweets, worthless teabagger scum.","[0.167131245136261, 0.8328688144683838]"
"RT @SportsCenter: Peyton Manning's remarkable season:
&#8226; 5,477 Pass yds (NFL record)
&#8226; 55 Pass TD (NFL record)
&#8226; 450 completions
&#8226; likely ho&#8230;","[0.9714494943618774, 0.028550472110509872]"
"@wtf_swagggbro text me, my phone being a cunt whore.","[0.2029663324356079, 0.7970336675643921]"
@jaureguisturnt them bitches smell like my farts i been holdin in since 5th grade,"[0.38618528842926025, 0.6138147115707397]"
"Someone's mother called me a ""handsome, buff, yellow thang"" last night... my ego was temporarily elevated and @binniemouse was dying lol","[0.9642427563667297, 0.03575725108385086]"
"' Don't ask me if I'm in my "" Feelings "" cause I ain't no bitch I don't got those Tf . I'm sad , not in no fucking feelings .","[0.8750340938568115, 0.12496594339609146]"
@luvvida You're right.. I be around my nig....,"[0.09137522429227829, 0.9086248278617859]"
RT @elvisknievil: Hover parents are the ones who bitch the most about their children's dependence.,"[0.475790411233902, 0.5242095589637756]"
@Wu_Pac @bestfrycook stfu bitch,"[0.17999152839183807, 0.8200084567070007]"
@FrankieJGrande ugly white bitch,"[0.13328665494918823, 0.8667133450508118]"
That bitch Amanda ran away from me &#128514;,"[0.1698618233203888, 0.8301382064819336]"
"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch","[0.4539164900779724, 0.5460835099220276]"
"&#8220;@Nadixo__: ""@joelxmontoya: I'm dreaming &#128525;&#128525; http://t.co/Y21PyZ5rai"" ewwww&#8221;bitch you must be fucked up &#128514;&#128514;","[0.35853779315948486, 0.6414622068405151]"
' Elza M. Jones Was whipppppppen and drifting last night lol we was tu this ma niggah http://t.co/wAqAmR4BGU,"[0.11652889102697372, 0.8834711313247681]"
Only the family in my eyes n bitch they rite heree,"[0.22224906086921692, 0.7777509093284607]"
@slickvick47 @itstattoos it's not colored in... dumb dick,"[0.8050282001495361, 0.19497182965278625]"
"This Amish bitch was rockin Gucci and her man was smokin a e-cig. Smh fake ass ""Amish"" ass bish!","[0.16434144973754883, 0.8356585502624512]"
"Oh look, Cutler didn't step into his throw and threw an int. Nice flat footed throw cunt.","[0.8690221309661865, 0.1309778392314911]"
"RT @KayciMalynn: @__0utcast___ hey cunt, I miss you too &#128532;","[0.4025309681892395, 0.5974689722061157]"
Brrr hoe dichter bij het Sint gebeuren hoe racistischer de drek op twitter en het komt nagenoeg alleen van de proZwartePieten hoek. Engvolk,"[0.9330843091011047, 0.06691567599773407]"
RT @rod4short: Bitch must have a 279.0 &amp; be related to Jesus then {@TheBSharp: GPA or Legacy RT @The_Lion_: How this bitch get in http://t.&#8230;,"[0.2811967730522156, 0.7188032865524292]"
All I want is cheesy bread and brownies &#128523;,"[0.9218893051147461, 0.07811066508293152]"
RT @AnayaL8ter: I'm sorry ya woman shouldn't be helping you out financially unless that's ya wife these hoes dumb,"[0.20688773691654205, 0.7931122779846191]"
#HappyColumbusDay .....hate to sound all #PETA callous and all........but #buffalo had it a LOT WORSE than the #injuns..........,"[0.5205593705177307, 0.4794405996799469]"
"@Roscoedash lmao, soft ass nigga trying to act all tough, you a little bitch. Sit down and watch from the sidelines pussy.","[0.13118304312229156, 0.8688169121742249]"
RT @_SadisticBitch: I'll never understand how people can fake an entire relationship? I can't even fake a 'hello' to a bitch that I fucking&#8230;,"[0.6876850724220276, 0.3123149573802948]"
Hanging with my bitches I couldn't be more happy #thegoodlife,"[0.20290470123291016, 0.7970952987670898]"
"RT @Yankees: Congrats to Derek Jeter, who will start at shortstop in his 14th and final All-Star Game! #FarewellCaptain http://t.co/5nhtJOx&#8230;","[0.9410259127616882, 0.05897413566708565]"
"RT @rustymk2: Not. A. Fucking. Charge. Even. As. A. Juvenile. 

If you call #MichaelBrown a thug at this point, just say ""nigger"" cuz it's &#8230;","[0.1196567714214325, 0.8803431987762451]"
bitch live a little.,"[0.19949518144130707, 0.8005048036575317]"
@PWilliamsD I need some clams on the half shell :-). Down here all you can get is deep fried clam necks.,"[0.9633470177650452, 0.036652952432632446]"
&#8220;@thomasemmanuelm: Colts nation...put yall money up&#8221;bitch chuassup we was just down 24,"[0.2956520915031433, 0.7043479681015015]"
late upload bitches,"[0.22069081664085388, 0.7793092131614685]"
That was trash. I'm just gonna put my phone down. Goodnight,"[0.9615748524665833, 0.03842515870928764]"
Fuck all you hoes who keep giving my number to these colleges lmao,"[0.1534387320280075, 0.8465613126754761]"
@Torn_Rose republican teabaggers should be jailed for treason.....,"[0.862744927406311, 0.13725504279136658]"
RT @NaziaBee: &#8220;@1waynostra: So jus don't be faithful cus u never kno what your bitch doing lmao&#8221;&#128553;&#128514;&#128514;&#128514;&#128128;&#128128;&#128128;&#128128;,"[0.26294171810150146, 0.7370582818984985]"
"RT @BrandonTierney: Crooked number followed by shut down frame, love it. #Yankees","[0.8194724917411804, 0.1805274784564972]"
"Suzan are you really going to make me get off this sofa to find some damn silverware, by golly you old bitch.","[0.4198392629623413, 0.5801607370376587]"
"@NicoleJeanxoxo @A_Mitchellll13 hahahaha ""move bitch get out the wayyyeee""","[0.20325708389282227, 0.7967429161071777]"
RT @WORIDSTARHlPHOP: this kid definitely got the pussy after that game https://t.co/lVXbXMgStD,"[0.7458973526954651, 0.25410258769989014]"
@_jeff_hank @lgreiner3 @RayceWarden @BigJohn_Studd shut up nigger,"[0.09390062093734741, 0.9060993790626526]"
RT @LorenzoLuciano: Females always complaining about some shit niggas ain't doing right ....like bitches don't have flaws,"[0.4046044647693634, 0.5953955054283142]"
Like stop being a bitch for 3.2 seconds.,"[0.24360451102256775, 0.7563954591751099]"
"RT @ripstephanie_: ""let my shirt go bitch it's Aeropostale wtf is wrong with you "" &#128514;&#128557;&#128514; https://t.co/xM5s5HN7tq","[0.5550597906112671, 0.4449402093887329]"
RT @KxngFrxsh: If ya friends always trynna get you to break-up wit ya nigga or do THOT shit wit them...Them bitches really ain't ya friends!,"[0.5187456607818604, 0.48125430941581726]"
RT @JustHad_that: Good pussy &#128166;&#128049; comes with a smart ass mouth &#128068;&#128069; &amp; a crazy ass attitude &#128530;&#128175;,"[0.3025974929332733, 0.6974025368690491]"
Im telling you man! RT @KfromtheG: Roethlisberger got his record expunged and became trash.,"[0.9722943902015686, 0.027705656364560127]"
"&#8220;@KinggKI Im drunk, I'm bout to bitch.&#8221;need a ride?","[0.24822312593460083, 0.751776933670044]"
"RT @snoleezey801: @uce_INA poly ratchets.. Can't stand poly bitches in general &#128514; they loud, annoying, and they talk too much..","[0.19911247491836548, 0.8008875250816345]"
RT @RakwonOGOD: When ya side hoe tryna act up http://t.co/ayfGKVdEZI,"[0.23347657918930054, 0.7665234208106995]"
Shit is trash,"[0.9760540723800659, 0.023945890367031097]"
RT @easy_edd: lifes a bitch,"[0.4599415063858032, 0.5400584936141968]"
"RT @DamondDAWG: ""Peek a boo bitch, swag scare ya kids"" RT @Now_Thats_Fresh: What's Tyga's worst bar? #TygaBars""","[0.40280982851982117, 0.5971902012825012]"
"And i didn't wanna come off as a bitch, so I took another hit, now I think I'm feeling to high","[0.6469054222106934, 0.35309457778930664]"
ShoutOut to Brooklyn and this $3.47/gal gas. On my way to Atlantic to mess with ghetto girls working at Target now.,"[0.9272688627243042, 0.0727311447262764]"
85 species of birds reported in Chesterfield for the Great Backyard Bird Count. How many in your area? http://t.co/VIWMjjJxOT,"[0.9515594244003296, 0.04844054952263832]"
@tcthegreat1 it's yo fault taking a nig out everyday,"[0.1269347220659256, 0.8730652928352356]"
RT @yooSlim Y'all Virgo bitches gotta chill thinking y'all Beyonc&#232; &#128514;&#128514;&#128514;,"[0.17053532600402832, 0.8294646143913269]"
RT @CallMeRenee_: The beat tho &#128076;bitch im trying bone,"[0.200163796544075, 0.7998361587524414]"
@SarahAuten bitch slap that asshole....with a chair!,"[0.22348767518997192, 0.7765123248100281]"
&#8220;@comedianjayski: My favorite time of da day HAPPY HOUR!!! #Drinkbreak&#8221;when the bad bitches come out and the ok hoes at home doing make-up,"[0.1334673911333084, 0.8665326833724976]"
"If you're a male and ""hoes/hos"" and/or ""bitches"" is your default word for women...you gotta go. Remove yourself, please.","[0.7173678278923035, 0.28263217210769653]"
"RT @AndrogyneAdvent: The thing about Houston and Austin gays is 99% are hoes, ain't no wholesome bitches","[0.18533414602279663, 0.8146658539772034]"
The redskins should change their name to the injuns,"[0.9400804042816162, 0.059919573366642]"
Get two birds stoned at one time.,"[0.9771897196769714, 0.022810278460383415]"
You know i stay on fuck a bitch shit but with a street nigga thats what you gonna get .,"[0.27016642689704895, 0.7298336029052734]"
Sweet and innocent schoolgirl Minami Asaka&#180;s pussy&#160;eaten http://t.co/DNxBLKrQ45,"[0.7087023854255676, 0.29129764437675476]"
I'm beating bitch jay jay ass when I see this nigga . I really ova here dead tho &#128557;&#128514;&#128128;&#128514;&#128079;,"[0.11621367931365967, 0.8837863206863403]"
@vinnyywright I don't care what they is they can catch them hoes,"[0.11304087936878204, 0.8869590759277344]"
"If the Yankees can't beat the Red Sox, they don't even deserve to be in the playoffs #yankees #redsox #mlb","[0.9009796380996704, 0.09902036935091019]"
RT @RWSurferGirl: Toss 'em out of office? Or just throw 'em in the trash? #trashbucketchallenge has politicians on the run at... https://t.&#8230;,"[0.9130722880363464, 0.08692768961191177]"
I bought him a Sumblime shirt for his birthday too &#128532; I kinda wanna be a cunt and ask for it back lol #IndianGiver,"[0.3216358423233032, 0.6783641576766968]"
"RT @AssholeOfDaYear: I hope my kids don&#8217;t disappoint me by coming out ugly, I got too many plans to get hoes indirectly with them.","[0.1276705265045166, 0.8723294734954834]"
Sometimes you don't wanna fuck the bitch but her head so good you end up fucking,"[0.26383787393569946, 0.7361621260643005]"
RT @CuhCuhCuh: white hoes still wear UGG's in hot ass weather cuh,"[0.20982716977596283, 0.7901728749275208]"
Like my momma said don't waste yo time on plzing des fake ass bitches and bum ass dudes cause they ain't gone get u nowhere but pregnant and,"[0.29032203555107117, 0.7096779942512512]"
Damn I'm in da mood to eat sum pussy who got it fresh on a platter for me # teamfluffnevabluff,"[0.6470986008644104, 0.3529013991355896]"
Ross got Amber Rose naked these hoes ain't loyal wiz,"[0.1435052901506424, 0.8564947247505188]"
@IamEnidColeslaw He must think you bump pussy. I no mind. I'll eat your #thong and make you #squirt like the #geyser.,"[0.2371307909488678, 0.7628692388534546]"
RT @ThatsComplex: Hate shit like this bitch can't make a decent meal but can take a hell of a thirst trap http://t.co/uHaON0TJDw&#8221;,"[0.3921860158443451, 0.6078140139579773]"
You scared I ain't scared to beat the pussy up,"[0.3488713204860687, 0.6511287093162537]"
Otters would make cool pets if they weren't such cunts.,"[0.2969725430011749, 0.7030274868011475]"
Broke pussy boy Deion's record.,"[0.974760890007019, 0.02523915469646454]"
that lil bitch released the exclusive shower photos between niggas. #trustisbroken,"[0.17404137551784515, 0.8259586095809937]"
bruh YouTube a bitch ass nigga bruh on me bruh.,"[0.122732974588871, 0.8772670030593872]"
If you tell a dyke she looks just like a nigga is that a compliment? I've always wondered that,"[0.6436964869499207, 0.35630354285240173]"
If youu let yo bitch leave with another niggah and don't say shit thats on youu!,"[0.14182700216770172, 0.8581729531288147]"
@radar_online to HELL with the plasticassed bitch!!,"[0.2604144513607025, 0.7395855784416199]"
Maybe next time i day drink ill balance it out with my bitch mary jane cause #ItsLevelsTooThisShit,"[0.22274649143218994, 0.7772535085678101]"
How about a Charles in Charge movie with Shia LeBouf as Charlie and Ryan Gosling as Buddy. #WhyNot.,"[0.5793460607528687, 0.42065390944480896]"
Before I let a pussy cut my hair I just will let it grow,"[0.6013209819793701, 0.39867904782295227]"
"RT @DezzzyBo: I want attention yet she's on twitter talking about getting somebodies dick wet tonight and what her tongue does, deez hoes g&#8230;","[0.21066096425056458, 0.7893390655517578]"
"""@_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;""","[0.7392129898071289, 0.2607870399951935]"
I'll keep all comments to myself about tho.... I'll just laugh about it with my nigs,"[0.11980150640010834, 0.8801984190940857]"
@Cuauhtli02 @elchavaloko @cafebabybull he's a cheating wetback,"[0.6387659311294556, 0.36123406887054443]"
dumb ugly stupid bullshit ass bitch &#128074;&#128074;&#128074;,"[0.1346520036458969, 0.8653479814529419]"
RT @cthagod: All it takes is one bitch ass monkey or human to fuck up every bodies Peace and Serenity.,"[0.3028853237628937, 0.6971146464347839]"
So you still don't suck dick or eat pussy in 2014?,"[0.7813442349433899, 0.21865572035312653]"
did this bitch @ViVaLa_Ari really awake me from my slumber to help pick out her avatar tho,"[0.23930534720420837, 0.760694682598114]"
I couldn't press send. That tweet about anchor babies was even too raw for me.,"[0.9711394906044006, 0.028860492631793022]"
"RT @Jordiiin_: &#128514;if you can fuck my bitch , then she ain't ""My Bitch""&#128080;","[0.18919119238853455, 0.8108088374137878]"
&#8220;@candacevon: Niggas talk more then bitches these days &#128530;&#8221; #facts,"[0.4500225782394409, 0.5499773621559143]"
As good as Percy Harvin and Peyton on the same team sound&#8230; That&#8217;s so retarded lmao,"[0.3604171574115753, 0.6395828127861023]"
Not even sweating these hoes &#128524;&#128588;,"[0.11448012292385101, 0.8855199217796326]"
RT @FuckYouIsaac_: Maury 70 years old still exposing hoes,"[0.7230100035667419, 0.27699002623558044]"
RT @Roberto0oO0: @kitten_nugget69 @danusaur aye stfu you dyke lookin bitch I'm pretty sure you have a bigger dick than your boyfriend,"[0.18179181218147278, 0.8182081580162048]"
I'm sticking with @tha_fluzzy07's theory that black pussy tastes like strawberry milk.,"[0.7296700477600098, 0.2703299820423126]"
RT @A_single_bear: I accidentally ate a few fireflies last night while chewing some leaves I found. The shameful yellow glow of my mouth wa&#8230;,"[0.963982880115509, 0.03601705655455589]"
@Dswizzle3 @Dswizzle boy u look like big bird off of sesame street,"[0.9681678414344788, 0.03183215856552124]"
RT @bigbluexpress: Cal has a day off and for giggles heads to Yankee stadium to hang with Derek Jeter. Yep coaching at UK is probably weari&#8230;,"[0.9642577767372131, 0.035742245614528656]"
too bad ur a pussy,"[0.20802287757396698, 0.7919771075248718]"
@FuckingCashBro you&#8217;re a little bitch x2,"[0.19860096275806427, 0.8013990521430969]"
"RT @MrFourTwentyy: Everybody fckn everybody bitch &amp; everybody with the shit, that's life","[0.7386929988861084, 0.2613069713115692]"
"RT @YBkalo: ""@CuhCuhCuh: bitches cant get the ios8 because they have over 10 gb of selfies cuh""&#128514;&#128514;&#128514;","[0.7719320058822632, 0.22806799411773682]"
@JawShoeeAhhh bitch answer me lol,"[0.2340894192457199, 0.7659105658531189]"
"Holy fuck. White bitch with ""4 baby daddy"" straight goes ""who uses condoms anyways"" 

Bitch maybe you should so you'd stay outta the clinic!","[0.25693368911743164, 0.7430663108825684]"
&#8220;@44BINKO: Denzy tryna hoe broski Izzy &#128553;&#8221;&#128514;,"[0.1225479319691658, 0.8774521350860596]"
Damn Kaepernick is trash man,"[0.9760121703147888, 0.023987792432308197]"
RT @_WORDtotheWISE: I love when the birds are chirping in the morning #patsgonnasubtweet,"[0.9653088450431824, 0.034691184759140015]"
"""Dropped a stack cause bitch I'm ON"".
-@1PoloBoy 
Song called ""Dope"".
Download the mixtape here: http://t.co/LaCZ1e6TG7","[0.4854011535644531, 0.5145987868309021]"
RT @Dino_FooL: Y'all ever just been having a normal day and your mind plays a horrible trick on you and give you a whiff of some good pussy&#8230;,"[0.47363021969795227, 0.5263698101043701]"
"LMAOOO @ ""*gasp* that bitch""

Y'all do too much from behind a phone","[0.3375103175640106, 0.662489652633667]"
@Ole_Boy @m10eezy yes I'm white washed because I don't go around repping my hood and saying a bunch of ignorant nig terms.,"[0.1160806268453598, 0.883919358253479]"
RT @hoez4sale: Lmao they all trash before &amp; after &#128530;&#128557;,"[0.2739238440990448, 0.7260761857032776]"
"RT @SMACKHighAZ: ""Seton Catholic where their own students talk trash about how low of a division there football team is in.""","[0.9694933295249939, 0.03050663322210312]"
Uncle Tom ass muhfuckas.,"[0.22160261869430542, 0.7783973813056946]"
RT @thereal_EMandM: Yankee Doodle had a farm. Cotton farm,"[0.9561389088630676, 0.04386112466454506]"
"Instead of calling each other hoes, girls should be supporting each other. Idk that's just me though.","[0.8727791905403137, 0.1272207796573639]"
"@noah_55 also you can only refer to a girl as ""bitch"" if she has sucked your D #BetDat","[0.2396123707294464, 0.7603875994682312]"
dear spoiled suburban bitch...,"[0.18789392709732056, 0.8121061325073242]"
ATTENTION! Leggings ain't for everybody. Especially you hippo looking hoes!,"[0.21633799374103546, 0.7836620211601257]"
"RT @daraobriain: Tommy Voeckler keeps the yellow, Andy Schleck does the break of the tour, and Contador is broken. Incredible day for #tdf","[0.9710322618484497, 0.028967736288905144]"
RT @ItsJordyyyn: The reason high school is so fucking hard is because ned never made a guide for anything past 8th grade. You feel me? Fuck&#8230;,"[0.9720216393470764, 0.027978334575891495]"
RT @_RiveraJustin: It's unattractive when girls act ghetto,"[0.9287068843841553, 0.07129316031932831]"
#BestSongToHaveSexTo bitches love sosa #bangbang,"[0.29520976543426514, 0.7047902345657349]"
These hoes ain't loyallll,"[0.16015297174453735, 0.8398470282554626]"
@Niyas_Destani burnt tho .. Jus like a nicca &#128514;&#128514;,"[0.836572527885437, 0.163427472114563]"
"RT @TheDouch3: Most overused hoe excuses
1. It's just lyrics
2. My friends party so I party 
3. Men do it too
4. And vice versa
5. I was yo&#8230;","[0.7539471387863159, 0.24605289101600647]"
"Call a hoe a hoe, and a rat a rat","[0.13055630028247833, 0.8694436550140381]"
RT @Naezus: I remember playing the Halo 4 episodes with @The_Paradox. The pussy finished all chapters without me. Fuck him.,"[0.9524593949317932, 0.04754064232110977]"
"This hoe straight up disappeared on me, like where did you go ?","[0.2646627724170685, 0.7353372573852539]"
